lemma,level
обычно,1E
проблема,1E
страх,1E
ясно,1E
снять,1E
бумага,1E
герой,1E
пара,1E
государство,1E
деревня,1E
речь,1E
начаться,1E
скоро,1E
небольшой,1E
представлять,1E
завтра,1E
объяснить,1E
пустой,1E
нравиться,1E
однажды,1E
существовать,1E
класс,1E
класс,1E
толстый,1E
чистый,1E
знать,1E
профессор,1E
счастье,1E
план,1E
чужой,1E
зал,1E
представить,1E
директор,1E
бывший,1E
память,1E
близкий,1E
результат,1E
больной,1E
бутылка,1E
трудно,1E
процесс,1E
картина,1E
старший,1E
легко,1E
центр,1E
возможно,1E
около,1E
смеяться,1E
сто,1E
будущее,1E
число,1E
рубль,1E
почувствовать,1E
принести,1E
телефон,1E
коридор,1E
правый,1E
автор,1E
холодный,1E
многие,1E
встреча,1E
кабинет,1E
документ,1E
самолет,1E
принимать,1E
игра,1E
рассказ,1E
хлеб,1E
родной,1E
открытый,1E
менее,1E
желтый,1E
выпить,1E
крикнуть,1E
показывать,1E
доктор,1E
попросить,1E
наука,1E
привести,1E
сорок,1E
возвращаться,1E
кухня,1E
решение,1E
тридцать,1E
роман,1E
компания,1E
российский,1E
потерять,1E
синий,1E
тепло,1E
теплый,1E
метр,1E
институт,1E
интерес,1E
обычный,1E
половина,1E
шесть,1E
получиться,1E
вон,1E
идея,1E
достаточно,1E
провести,1E
важный,1E
родители,1E
простить,1E
чай,1E
немецкий,1E
по-немецки,1E
магазин,1E
президент,1E
поэт,1E
спасибо,1E
помочь,1E
вспоминать,1E
прекрасный,1E
надежда,1E
сильно,1E
литература,1E
готовый,1E
вчера,1E
роль,1E
природа,1E
политический,1E
садиться,1E
фамилия,1E
пожалуйста,1E
выше,1E
толпа,1E
неизвестный,1E
кресло,1E
секунда,1E
банк,1E
тихий,1E
сапог,1E
правило,1E
получать,1E
дочь,1E
называться,1E
надеяться,1E
государственный,1E
десяток,1E
глубокий,1E
цветок,1E
дождь,1E
этаж,1E
голубой,1E
революция,1E
сосед,1E
сестра,1E
долгий,1E
чей,1E
поверить,1E
ситуация,1E
слабый,1E
выход,1E
совет,1E
дурак,1E
любимый,1E
лето,1E
висеть,1E
цвет,1E
серьезный,1E
интересно,1E
свобода,1E
стул,1E
уехать,1E
поезд,1E
музыка,1E
быстрый,1E
лошадь,1E
поле,1E
учиться,1E
левый,1E
разговаривать,1E
детский,1E
тип,1E
горячий,1E
площадь,1E
помогать,1E
счастливый,1E
встретить,1E
радость,1E
острый,1E
карта,1E
входить,1E
цена,1E
информация,1E
нести,1E
обратно,1E
современный,1E
семь,1E
веселый,1E
правительство,1E
милый,1E
повторить,1E
название,1E
пример,1E
невозможно,1E
американский,1E
факт,1E
рыба,1E
бабушка,1E
вино,1E
учитель,1E
папа,1E
правильно,1E
недавно,1E
лететь,1E
носить,1E
птица,1E
мнение,1E
здоровый,1E
зима,1E
километр,1E
кровать,1E
привыкнуть,1E
свободный,1E
лестница,1E
обязательно,1E
детство,1E
остров,1E
статья,1E
позвонить,1E
мешать,1E
водка,1E
станция,1E
попробовать,1E
получаться,1E
странно,1E
интересный,1E
команда,1E
ставить,1E
понятно,1E
страшно,1E
район,1E
наверно,1E
проводить,1E
обещать,1E
дорогой,1E
прямой,1E
художник,1E
знак,1E
завод,1E
стакан,1E
отсюда,1E
рот,1E
пора,1E
передать,1E
вставать,1E
одежда,1E
кусок,1E
тема,1E
животный,1E
снимать,1E
искусство,1E
умный,1E
курс,1E
звонить,1E
здание,1E
поговорить,1E
начинаться,1E
оттуда,1E
задача,1E
ужас,1E
узкий,1E
материал,1E
нормальный,1E
четвертый,1E
шум,1E
тетя,1E
доллар,1E
студент,1E
очко,1E
нож,1E
мировой,1E
предмет,1E
плохой,1E
точный,1E
инженер,1E
программа,1E
костюм,1E
женский,1E
театр,1E
встречаться,1E
журнал,1E
стихи,1E
ключ,1E
черт,1E
побежать,1E
культура,1E
западный,1E
фильм,1E
восемь,1E
открывать,1E
замечать,1E
закончить,1E
мягкий,1E
труба,1E
миллион,1E
пятьдесят,1E
закрыть,1E
линия,1E
понравиться,1E
весна,1E
обед,1E
значение,1E
фотография,1E
успех,1E
грязный,1E
билет,1E
знаменитый,1E
лишний,1E
родиться,1E
английский,1E
громко,1E
запад,1E
Германия,1E
спешить,1E
еда,1E
поздно,1E
ой,1E
фирма,1E
организация,1E
гораздо,1E
подождать,1E
ошибка,1E
повторять,1E
несколько,1E
учить,1E
учить,1E
бегать,1E
общественный,1E
лечь,1E
камера,1E
ученый,1E
фраза,1E
считаться,1E
замок,1E
ездить,1E
встретиться,1E
рынок,1E
тяжело,1E
клуб,1E
платить,1E
столица,1E
здоровье,1E
здравствовать,1E
пятый,1E
шутка,1E
исторический,1E
родина,1E
страница,1E
секретарь,1E
городской,1E
прекрасно,1E
Америка,1E
весело,1E
сигарета,1E
пиво,1E
возможный,1E
продукт,1E
книжка,1E
больница,1E
ресторан,1E
находить,1E
диван,1E
мясо,1E
кошка,1E
взрослый,1E
народный,1E
процент,1E
бросать,1E
мечтать,1E
автобус,1E
восток,1E
оставлять,1E
встречать,1E
ясный,1E
занятие,1E
Европа,1E
планета,1E
выбрать,1E
доска,1E
актер,1E
потолок,1E
постель,1E
сумка,1E
праздник,1E
мост,1E
энергия,1E
объяснять,1E
пятнадцать,1E
звонок,1E
кино,1E
бедный,1E
летний,1E
адрес,1E
закрытый,1E
жалк,1E
кот,1E
трудный,1E
текст,1E
больно,1E
терять,1E
приятель,1E
дедушка,1E
прочитать,1E
масло,1E
младший,1E
построить,1E
рождение,1E
болеть,1E
болеть,1E
низкий,1E
песня,1E
розовый,1E
осень,1E
платье,1E
важно,1E
шофер,1E
вход,1E
глупый,1E
национальный,1E
приятно,1E
рано,1E
жениться,1E
церковь,1E
ручка,1E
пригласить,1E
хозяйка,1E
дворец,1E
водитель,1E
строить,1E
перейти,1E
урок,1E
повезти,1E
по-французски,1E
французский,1E
повернуть,1E
серьезно,1E
поступить,1E
телевизор,1E
поиск,1E
озеро,1E
чемодан,1E
приятный,1E
стоить,1E
музей,1E
навсегда,1E
родственник,1E
послушать,1E
грязь,1E
отметить,1E
экран,1E
молоко,1E
предложение,1E
среда,1E
приезжать,1E
кофе,1E
вернуть,1E
северный,1E
познакомиться,1E
гулять,1E
температура,1E
подарок,1E
волноваться,1E
штука,1E
домашний,1E
готовить,1E
жалеть,1E
дача,1E
обо,1E
довольный,1E
готовиться,1E
портрет,1E
шкаф,1E
куртка,1E
редко,1E
занятой,1E
отойти,1E
вырасти,1E
Париж,1E
рубашка,1E
парк,1E
перевести,1E
посадить,1E
луна,1E
богатый,1E
гостиница,1E
твердый,1E
никуда,1E
продать,1E
умирать,1E
шапка,1E
университет,1E
журналист,1E
летать,1E
обыкновенный,1E
иностранный,1E
незнакомый,1E
забывать,1E
позвать,1E
плащ,1E
подъезд,1E
съесть,1E
двенадцать,1E
решать,1E
подарить,1E
середина,1E
сумасшедший,1E
здорово,1E
приводить,1E
мужской,1E
разница,1E
непонятный,1E
политика,1E
записать,1E
теория,1E
интересовать,1E
чисто,1E
близко,1E
вокзал,1E
столовая,1E
столовый,1E
открыться,1E
полиция,1E
выбор,1E
везти,1E
пиджак,1E
тарелка,1E
научиться,1E
подруга,1E
выбирать,1E
батарея,1E
техника,1E
громкий,1E
восточный,1E
приносить,1E
международный,1E
мечта,1E
дочка,1E
картошка,1E
медведь,1E
проект,1E
покупать,1E
паспорт,1E
двести,1E
коллега,1E
коммунист,1E
просьба,1E
полчаса,1E
сказка,1E
твердо,1E
молодец,1E
собрание,1E
девять,1E
поступать,1E
океан,1E
пачка,1E
поездка,1E
август,1E
север,1E
шляпа,1E
изо,1E
брюки,1E
пальто,1E
экономика,1E
талант,1E
канал,1E
пассажир,1E
благодаря,1E
шутить,1E
случаться,1E
юг,1E
отлично,1E
отдыхать,1E
октябрь,1E
храм,1E
сдать,1E
шестой,1E
уезжать,1E
неприятный,1E
переходить,1E
ботинок,1E
корпус,1E
компьютер,1E
ложиться,1E
коробка,1E
секрет,1E
седьмой,1E
привет,1E
посидеть,1E
южный,1E
радио,1E
профессия,1E
зимний,1E
повести,1E
холодно,1E
лампа,1E
закрывать,1E
неплохо,1E
смешной,1E
старушка,1E
гриб,1E
погода,1E
Израиль,1E
профессиональный,1E
ложка,1E
убрать,1E
смешно,1E
продавать,1E
баня,1E
повесить,1E
ужин,1E
март,1E
библиотека,1E
коричневый,1E
сладкий,1E
инструмент,1E
непонятно,1E
задание,1E
ужасный,1E
отдых,1E
яблоко,1E
путешествие,1E
традиция,1E
Франция,1E
американец,1E
нигде,1E
яйцо,1E
удобный,1E
тетка,1E
пропустить,1E
мягко,1E
китайский,1E
деталь,1E
контакт,1E
шеф,1E
Петербург,1E
Санкт-Петербург,1E
правильный,1E
новость,1E
гений,1E
передача,1E
декабрь,1E
лук,1E
лаборатория,1E
ноябрь,1E
пакет,1E
постараться,1E
изучать,1E
посылать,1E
танцевать,1E
коротко,1E
дешевый,1E
голодный,1E
лев,1E
ужасно,1E
стиль,1E
вслух,1E
режиссер,1E
метро,1E
май,1E
закончиться,1E
сентябрь,1E
завтрак,1E
альбом,1E
задавать,1E
полететь,1E
папка,1E
концерт,1E
модель,1E
описать,1E
возвращение,1E
класть,1E
идиот,1E
лекция,1E
республика,1E
портфель,1E
виза,1E
водить,1E
пробовать,1E
заплатить,1E
кафе,1E
японский,1E
отель,1E
немножко,1E
карандаш,1E
принц,1E
бизнес,1E
иностранец,1E
приготовить,1E
пожалеть,1E
организовать,1E
приглашать,1E
галстук,1E
отличный,1E
скандал,1E
дура,1E
полицейский,1E
посуда,1E
необыкновенный,1E
научить,1E
такси,1E
интересоваться,1E
вовремя,1E
агент,1E
январь,1E
соль,1E
свидание,1E
кролик,1E
политик,1E
шестьдесят,1E
по-русски,1E
суп,1E
европейский,1E
мода,1E
понятный,1E
июнь,1E
спортивный,1E
открываться,1E
музыкант,1E
нормально,1E
недалеко,1E
передавать,1E
экзамен,1E
скамейка,1E
сахар,1E
социализм,1E
туалет,1E
оценка,1E
остановка,1E
копейка,1E
триста,1E
цивилизация,1E
лифт,1E
колбаса,1E
каша,1E
коммунизм,1E
грустно,1E
турист,1E
перевод,1E
поцеловать,1E
блюдо,1E
демократия,1E
штат,1E
носок,1E
Китай,1E
музыкальный,1E
суббота,1E
посоветовать,1E
восьмой,1E
воскресенье,1E
помешать,1E
красиво,1E
целовать,1E
заказать,1E
Корея,1E
рисунок,1E
плюс,1E
транспорт,1E
семьдесят,1E
рисковать,1E
чашка,1E
жаркий,1E
ванный,1E
отходить,1E
балкон,1E
жарко,1E
спектакль,1E
рисовать,1E
сок,1E
будущий,1E
кремль,1E
майка,1E
четверть,1E
учительница,1E
анекдот,1E
общежитие,1E
физика,1E
десятый,1E
осенний,1E
советовать,1E
соседка,1E
неправильный,1E
сочинение,1E
пляж,1E
спальня,1E
лампочка,1E
скучно,1E
туфля,1E
пьеса,1E
недовольный,1E
игрушка,1E
эксперимент,1E
пообещать,1E
Англия,1E
заболеть,1E
девятый,1E
записывать,1E
глупо,1E
адвокат,1E
апрель,1E
передо,1E
почта,1E
сдавать,1E
практика,1E
нарисовать,1E
грустный,1E
понести,1E
необычный,1E
юбка,1E
нехорошо,1E
аэропорт,1E
задать,1E
выиграть,1E
надолго,1E
неприятно,1E
цирк,1E
пешком,1E
образец,1E
одиннадцать,1E
спорт,1E
июль,1E
напиток,1E
юмор,1E
чтение,1E
недолго,1E
видеться,1E
свободно,1E
Берлин,1E
весенний,1E
визит,1E
Сибирь,1E
интервью,1E
гараж,1E
книжный,1E
неудобно,1E
классический,1E
риск,1E
англичанин,1E
прогулка,1E
командировка,1E
КГБ,1E
отмечать,1E
прогресс,1E
реклама,1E
проспект,1E
энергичный,1E
возить,1E
китаец,1E
космос,1E
налево,1E
Италия,1E
ругать,1E
полдень,1E
выставка,1E
ноль,1E
перчатка,1E
ранее,1E
дата,1E
февраль,1E
категория,1E
трамвай,1E
телевидение,1E
фабрика,1E
прилететь,1E
одеваться,1E
популярный,1E
направо,1E
рис,1E
биография,1E
Лондон,1E
тетрадь,1E
обедать,1E
велосипед,1E
ванна,1E
холодильник,1E
типичный,1E
стихотворение,1E
перерыв,1E
гостиный,1E
килограмм,1E
чайник,1E
лыжа,1E
модный,1E
гитара,1E
фрукт,1E
мотоцикл,1E
невысокий,1E
администрация,1E
опоздать,1E
ненужный,1E
аппетит,1E
шпион,1E
технология,1E
симпатичный,1E
незнакомец,1E
эпизод,1E
преподаватель,1E
рекомендовать,1E
диск,1E
улететь,1E
бензин,1E
купаться,1E
елка,1E
медленный,1E
переводить,1E
медицина,1E
полно,1E
француз,1E
нуль,1E
капуста,1E
неплохой,1E
вкусный,1E
бесплатно,1E
пропаганда,1E
официант,1E
школьник,1E
рюкзак,1E
покупка,1E
описывать,1E
Япония,1E
специальность,1E
буфет,1E
итальянский,1E
серия,1E
копия,1E
приглашение,1E
пионер,1E
философия,1E
двадцатый,1E
низко,1E
восемьдесят,1E
мышь,1E
невозможный,1E
шестнадцать,1E
учебник,1E
котенок,1E
поворачивать,1E
польский,1E
оранжевый,1E
эмоция,1E
тройка,1E
мяч,1E
философ,1E
пропускать,1E
поэзия,1E
огурец,1E
корейский,1E
партнер,1E
религиозный,1E
конференция,1E
блокнот,1E
обязательный,1E
поискать,1E
грамм,1E
капитализм,1E
пусто,1E
дорого,1E
пошутить,1E
скучный,1E
узнавать,1E
постоять,1E
миллиард,1E
восемнадцать,1E
проиграть,1E
икра,1E
историк,1E
офис,1E
касса,1E
переехать,1E
украинский,1E
поспешить,1E
открыто,1E
мороженый,1E
медсестра,1E
японец,1E
повторяться,1E
одеться,1E
Канада,1E
курица,1E
информационный,1E
плакат,1E
РФ,1E
понедельник,1E
Польша,1E
удобно,1E
недостаточно,1E
конфета,1E
сажать,1E
бассейн,1E
студенческий,1E
кататься,1E
привыкать,1E
религия,1E
пятьсот,1E
фонтан,1E
мыть,1E
рок,1E
сытый,1E
груша,1E
прохладный,1E
убирать,1E
неправда,1E
регион,1E
ссылка,1E
мед,1E
Кавказ,1E
перец,1E
семнадцать,1E
принцесса,1E
блин,1E
демократ,1E
факультет,1E
интернет,1E
алкоголь,1E
актриса,1E
бесплатный,1E
математика,1E
собор,1E
сыр,1E
самовар,1E
учеба,1E
конструкция,1E
строиться,1E
скрипка,1E
песенка,1E
федерация,1E
поздравлять,1E
матч,1E
акцент,1E
лиловый,1E
тигр,1E
аргумент,1E
недовольно,1E
стоянка,1E
овощ,1E
нехороший,1E
микрофон,1E
национальность,1E
подружка,1E
рыбка,1E
премьер,1E
заканчиваться,1E
женатый,1E
строитель,1E
остро,1E
Африка,1E
психология,1E
пятница,1E
заканчивать,1E
девяносто,1E
певец,1E
горячо,1E
Австралия,1E
четырнадцать,1E
счастливо,1E
аудитория,1E
кошмар,1E
вешать,1E
сладко,1E
Азия,1E
фиолетовый,1E
кафедра,1E
свитер,1E
пятерка,1E
Испания,1E
знакомиться,1E
бутерброд,1E
дарить,1E
ненадолго,1E
рояль,1E
испанский,1E
композитор,1E
отчество,1E
аптека,1E
кепка,1E
дискуссия,1E
экскурсия,1E
Киев,1E
Крым,1E
спортсмен,1E
рискнуть,1E
целоваться,1E
возвращать,1E
официантка,1E
по-английски,1E
планировать,1E
закрыться,1E
сюрприз,1E
полночь,1E
открытка,1E
электричка,1E
нелегко,1E
геолог,1E
кошелек,1E
словарь,1E
физик,1E
химия,1E
нетрудно,1E
троллейбус,1E
выучить,1E
тост,1E
некрасивый,1E
погулять,1E
стадион,1E
опера,1E
двенадцатый,1E
шахматы,1E
фунт,1E
тридцатый,1E
тринадцать,1E
помидор,1E
футбол,1E
бизнесмен,1E
клиника,1E
упражнение,1E
география,1E
завтракать,1E
преподавать,1E
путешествовать,1E
календарь,1E
контрольный,1E
лимон,1E
каникулы,1E
отметка,1E
ужинать,1E
четыреста,1E
джинсы,1E
опаздывать,1E
киоск,1E
вкусно,1E
закрываться,1E
итальянец,1E
повториться,1E
борщ,1E
шашлык,1E
немного,1E
расписание,1E
двоюродный,1E
полежать,1E
героиня,1E
улетать,1E
зонтик,1E
безо,1E
салат,1E
шоколад,1E
поспать,1E
пятнадцатый,1E
библия,1E
апельсин,1E
мел,1E
фотоаппарат,1E
поздравить,1E
багаж,1E
грузинский,1E
менеджер,1E
Нева,1E
четверг,1E
кинотеатр,1E
химик,1E
котлета,1E
неинтересно,1E
увидеться,1E
одиннадцатый,1E
энергично,1E
поэма,1E
пообедать,1E
замужем,1E
торт,1E
заказывать,1E
зоопарк,1E
Великобритания,1E
студентка,1E
фотограф,1E
вечеринка,1E
девятьсот,1E
бар,1E
шарф,1E
математик,1E
тринадцатый,1E
Антарктида,1E
певица,1E
поликлиника,1E
неудобный,1E
девятнадцатый,1E
биолог,1E
четверка,1E
девятнадцать,1E
семнадцатый,1E
миллионер,1E
афиша,1E
позавтракать,1E
меню,1E
двойка,1E
грипп,1E
по-детски,1E
шестьсот,1E
канадский,1E
вторник,1E
непохожий,1E
алло,1E
Владивосток,1E
балет,1E
физкультура,1E
биология,1E
выигрывать,1E
печенье,1E
грязно,1E
Рождество,1E
восемнадцатый,1E
сувенир,1E
пианино,1E
незнакомка,1E
статистика,1E
назваться,1E
аспирант,1E
банан,1E
семьсот,1E
семинар,1E
восемьсот,1E
программист,1E
проигрывать,1E
переезжать,1E
шестнадцатый,1E
помыть,1E
ото,1E
поужинать,1E
четырнадцатый,1E
макароны,1E
шорты,1E
дешево,1E
насморк,1E
фотографировать,1E
вилка,1E
неинтересный,1E
модно,1E
подготовиться,1E
Арбат,1E
прилетать,1E
пельмени,1E
колледж,1E
политически,1E
ролик,1E
Пасха,1E
зонт,1E
стать,1E
сериал,1E
булка,1E
аспирантура,1E
теннис,1E
австралийский,1E
цент,1E
балерина,1E
журналистка,1E
домохозяйка,1E
журналистика,1E
подо,1E
приятельница,1E
простуда,1E
некрасиво,1E
испанец,1E
хоккей,1E
школьница,1E
Голливуд,1E
длинно,1E
видеокамера,1E
конспект,1E
партнерша,1E
бифштекс,1E
дискотека,1E
сфотографировать,1E
недорогой,1E
богато,1E
суеверный,1E
немка,1E
кампус,1E
типично,1E
австралиец,1E
хобби,1E
видео,1E
поцеловаться,1E
покататься,1E
несерьезный,1E
американка,1E
умно,1E
минус,1E
построиться,1E
баскетбол,1E
порекомендовать,1E
волейбол,1E
недорого,1E
несерьезно,1E
конфетка,1E
француженка,1E
несчастливый,1E
горилла,1E
китаянка,1E
по-китайски,1E
гольф,1E
алгебра,1E
кофейня,1E
однокурсник,1E
англичанка,1E
винегрет,1E
пицца,1E
блюз,1E
футболка,1E
грамматика,1E
десерт,1E
невкусный,1E
невысоко,1E
шоколадка,1E
гамбургер,1E
аспирантка,1E
прогуливать,1E
иностранка,1E
популярно,1E
мультфильм,1E
помечтать,1E
Чикаго,1E
преподавательница,1E
вегетарианец,1E
майонез,1E
семестр,1E
пенс,1E
матрешка,1E
Мадрид,1E
Аляска,1E
преподать,1E
прогулять,1E
баскетболист,1E
по-польски,1E
Бостон,1E
суеверно,1E
музыкально,1E
японка,1E
телепрограмма,1E
итальянка,1E
поругать,1E
кантри,1E
невкусно,1E
телесериал,1E
повисеть,1E
кетчуп,1E
немодный,1E
по-грузински,1E
Антарктика,1E
Измайлово,1E
альпинизм,1E
по-испански,1E
несовременный,1E
мультик,1E
австралийка,1E
антрополог,1E
бейсбол,1E
бизнесменка,1E
в порядке,1E
в-,1E
веган,1E
веганка,1E
вегетарианка,1E
видеть во сне,1E
видеть сон,1E
во время,1E
водить машину,1E
все,1E
всё,1E
все равно,1E
вы-,1E
выйти замуж,1E
выходить замуж,1E
где-нибудь,1E
где-то,1E
двоюродная сестра,1E
двоюродный брат,1E
день рождения,1E
добро пожаловать,1E
домашнее задание,1E
домашние животные,1E
домашняя работа,1E
друг друга,1E
если бы,1E
животное,1E
задавать вопрос,1E
замуж,1E
и так далее,1E
из дома,1E
Индия,1E
испанка,1E
к сожалению,1E
к счастью,1E
как-нибудь,1E
как-то,1E
какой-нибудь,1E
какой-то,1E
канадка,1E
кафетерий,1E
классическая музыка,1E
когда-нибудь,1E
когда-то,1E
конечно,1E
контрольная работа,1E
кроссовка,1E
кто-нибудь,1E
кто-то,1E
куда-нибудь,1E
куда-то,1E
медбрат,1E
музыкальная группа,1E
музыкальный инструмент,1E
не за что,1E
недалеко от,1E
нибудь,1E
одногруппник,1E
одногруппница,1E
однокурсница,1E
пере-,1E
по-вашему,1E
по-итальянски,1E
по-корейски,1E
по-моему,1E
по-нашему,1E
по-своему,1E
по-твоему,1E
по-украински,1E
по-японски,1E
полка,1E
почему-нибудь,1E
почему-то,1E
при-,1E
проводить время,1E
рад,1E
раньше,1E
родной город,1E
родной язык,1E
рок группа,1E
Российская Федерация,1E
Северная Америка,1E
спортсменка,1E
так же,1E
то,1E
у-,1E
уже не,1E
узко,1E
Украина,1E
что-нибудь,1E
что-то,1E
же,2I
сам,2I
при,2I
иметь,2I
конечный,2I
хотя,2I
оказаться,2I
снова,2I
про,2I
товарищ,2I
именно,2I
плечо,2I
зачем,2I
бывать,2I
палец,2I
любой,2I
мысль,2I
глядеть,2I
ж,2I
совершенно,2I
кроме,2I
огромный,2I
среди,2I
успеть,2I
живой,2I
продолжать,2I
вокруг,2I
власть,2I
пройти,2I
появиться,2I
воздух,2I
собственный,2I
отношение,2I
пытаться,2I
солдат,2I
чтоб,2I
называть,2I
подойти,2I
поднять,2I
особенно,2I
начальник,2I
оба,2I
кровь,2I
шаг,2I
молчать,2I
молчать,2I
остановиться,2I
личный,2I
труд,2I
видно,2I
являться,2I
движение,2I
смочь,2I
против,2I
форма,2I
общество,2I
грудь,2I
ладно,2I
век,2I
карман,2I
губа,2I
огонь,2I
состояние,2I
зуб,2I
подняться,2I
камень,2I
показаться,2I
ветер,2I
попасть,2I
закон,2I
вперед,2I
боль,2I
судьба,2I
причина,2I
черта,2I
основной,2I
проходить,2I
средство,2I
положение,2I
связь,2I
произнести,2I
мимо,2I
иначе,2I
удаться,2I
цель,2I
сквозь,2I
господин,2I
худой,2I
данный,2I
кстати,2I
назвать,2I
улыбаться,2I
условие,2I
ум,2I
улыбнуться,2I
вместо,2I
хватать,2I
вера,2I
удар,2I
колено,2I
согласиться,2I
