title,author,litres mark,litres votes,livelib mark,livelib votes,avg_word_len,avg_sent_len,avg_words_per_par,comma_freq,colon_freq,dash_freq,A1 voc,A2 voc,B1 voc,B2 voc,C1 voc,C2 voc,unknown voc,TTR,TTR-root,TTR-log,TTR-corrected,TTR-hdd,TTR-mtld,FKD-oborneva,FRE-oborneva,FKD-soloviev,FRE-soloviev
Везунчики, Рустам Максимов,3.7,18,None,None,5.535678957270593,13.61016501650165,46.96917497733454,114.1550102496081,1.198299770891113,0.0,0.55,0.14,0.13,0.06,0.03,0.02,0.07,0.2272472831856699,73.14892022367646,0.8716953913381689,51.72409752663541,0.9407982517250372,562.2883317710371,10.684218018862817,49.91815935011897,6.280476292592171,82.44901022840978
Живучий. Закрытые миры, Константин Николаевич Муравьев,4.2,466,3.8,37,4.930549531909797,11.122697653775544,15.041013334787706,90.97205378251456,0.1168930983392413,30.260700832571093,0.68,0.13,0.1,0.04,0.02,0.01,0.03,0.0713346834212945,52.97862261227876,0.800282274650853,37.46154330706528,0.910653587762154,200.15295234751068,7.78643641123659,64.91303777448638,4.25023313046008,96.64388088248496
Юзер, Анджей Ясинский,4.4,308,4.4,375,5.396787987146947,10.954097687782186,46.45686160972785,86.75965493829625,2.301409800710891,0.0,0.64,0.12,0.1,0.05,0.02,0.01,0.06,0.176110231705949,70.54572302966648,0.8551082646138772,49.88335913798516,0.9349513468758426,341.540107138038,9.19129376030483,54.49543141459233,5.210807435676633,90.1307580068591
Из евреев в попаданцы. Книга вторая., Дмитрий Гаук,4.9,722,5.0,13,5.760517986443324,8.889016897081413,39.13026389668725,68.45483350549566,0.3714063533699323,12.9644030223192,0.53,0.13,0.14,0.09,0.02,0.02,0.07,0.2475785969493908,65.35840505829981,0.874816274400255,46.215371424260944,0.93552143341176,468.0599232896659,9.10934930131314,50.381714272857096,5.119237886579702,91.06350646108343
Страна негодяев, Сергей Александрович Есенин,4.6,27,4.3,4,4.800070959730353,8.771858351613915,3.814494680851064,92.75165966671184,3.1973987264598294,3.9832001083863977,0.57,0.1,0.11,0.08,0.02,0.04,0.08,0.3603625588286561,61.03333327462804,0.9005619877623657,43.15708383690804,0.9397974729832216,262.83239940692647,5.393211821920978,77.04976587447487,2.571631319522337,108.39611707228946
Галактика онлайн. Том 2, Павел Коршунов,4.4,173,None,None,5.168145965631463,11.516603614964271,25.042234332425068,78.09138628345237,0.8605111436193099,0.0,0.62,0.1,0.1,0.07,0.01,0.02,0.08,0.2295667627804073,53.90812230116327,0.8652130580534353,38.11879884018629,0.9282566016137952,340.9729069507218,8.422173260288499,61.31691969534791,4.693336315875156,93.5655857592285
Управленец, Владимир Поселягин,4.3,22,3.8,35,5.23502323980031,15.331743421052632,61.2346002621232,96.93672086842128,0.4027097894275256,9.450256391899268,0.64,0.13,0.09,0.05,0.02,0.02,0.05,0.1811245237789478,55.3672517374548,0.8507162122315279,39.15055915921695,0.924095908583841,288.2473715226844,10.716653880890178,53.503644432608354,6.331454464460522,81.85063161595512
Кальмар. Полная книга, Валерий Шалдин,4.4,18,4.1,62,5.38095024199616,10.072741626254652,42.44123222748815,87.71836102355896,3.018323628398953,15.75938885624232,0.61,0.12,0.1,0.07,0.02,0.02,0.07,0.2527051624214135,75.62220458037828,0.8793664401191046,53.47297366706188,0.9417894240421026,312.37646836672207,8.487163762557888,57.51694839295894,4.712797359187404,93.65280143243211
Леший. Путь проклятых, Али Алиев,4.2,242,5.0,3,5.008106396453451,7.37072098723692,22.42490372272144,84.53515776144079,0.4748672130570895,0.0,0.65,0.15,0.09,0.06,0.02,0.01,0.03,0.2025301963478161,59.8561540143774,0.8596484910555243,42.324692399312646,0.9349959140243148,317.4223038577814,5.861836504245652,70.13711649659768,2.866178130558154,106.6260258834581
Азарт, Терентий Гравин,4.9,7,3.3,4,5.199227498458242,11.72471482889734,36.80277227722773,76.78382197103497,7.850582832921229,0.0,0.66,0.09,0.1,0.08,0.02,0.01,0.04,0.2364544212123494,72.08060070018115,0.873946322058453,50.96868154709789,0.9232949543558636,374.3391963310296,8.742560802419884,59.496084485834814,4.916579529461407,92.01523880067516
Попадос 4, Sunmen,4.4,36,None,None,5.245788702737343,16.065277015907846,34.930047694753576,92.6275637231414,0.3194377894904967,24.258481543072428,0.63,0.13,0.1,0.05,0.02,0.01,0.05,0.1899321833325747,56.30584342843412,0.8540828076749977,39.81424370867377,0.9224984411914636,282.40338599217085,11.18719639443567,51.71352450259067,6.665979201089852,79.47016857188291
Императоры Иллюзий, Сергей Васильевич Лукьяненко,4.7,591,4.4,1446,5.408345502459003,7.460606817330503,14.764561317276971,72.64811660041643,2.96548678150041,0.0,0.55,0.13,0.11,0.07,0.01,0.01,0.1,0.2653761006708058,65.0453009293881,0.8794364160990433,45.99397337148997,0.9459733445284028,390.07059746141954,7.050516409097966,61.888000795572594,3.683196982251984,101.04892317511244
Новые маги. Друид, Максим Дрешпак,4.3,12,4.0,1,4.993647818390087,7.957429245283019,34.65762538382805,76.17889004750319,0.7994438651372958,0.0,0.61,0.13,0.09,0.06,0.03,0.02,0.06,0.2377844390957015,61.87926003725384,0.8708647706067699,43.75524438714793,0.9228553951289696,351.39519712780265,6.236130430477296,68.81852940603184,3.1330696061087995,104.72014426561572
Нрзи. Колония нестрогого режима., Арт Богданов,4.3,34,4.0,8,5.177950339440156,9.114903778620592,48.62976813762154,60.97716058802584,0.3433541889211048,0.0,0.62,0.12,0.11,0.07,0.02,0.03,0.05,0.2569749915408041,65.52509564024882,0.8773935135607972,46.33323946511703,0.9221554136432838,316.86754363954367,7.37968997015194,63.233443101198446,3.936772059816111,99.07946333488324
Игра в Игре. Том 2. Великая гробница, Омельянов Ярослав,4.0,1,4.5,4,5.29522671446591,13.895990836197022,25.12489660876758,85.82242090965437,2.215452783162559,0.0,0.58,0.1,0.13,0.07,0.02,0.02,0.09,0.2317948380300237,57.13260810726913,0.8672753842618632,40.39885461952352,0.9353059113262936,350.8857430553612,10.164246991488511,54.12147823298056,5.9275608625786,84.81897964215281
Лабиринт на орбите, Сергей Залевский,2.0,6,None,None,5.418989405052975,26.37136706135629,90.61124694376528,87.63477088948787,6.199460916442049,0.0,0.61,0.13,0.1,0.07,0.02,0.02,0.05,0.2371964382083108,64.57670307580213,0.8716837526530465,45.66262465156987,0.936611068282835,420.4274161421525,16.78379224439095,35.343413774945105,10.681836082448262,50.58085885048381
Красный смех (сборник), Леонид Николаевич Андреев,4.8,205,4.7,22,5.0227011758221565,14.26038939790576,35.83832581042265,111.10349084424936,7.996708044715726,0.0,0.66,0.12,0.07,0.05,0.04,0.01,0.06,0.1782843664842336,74.51262806432212,0.8571435676702017,52.68838458831323,0.9093055738430106,202.78551284596,9.653023610338142,58.71686883364342,5.584066238949747,87.09488905614388
Не будите спящих джиннов, Василий Головачёв,4.4,59,4.7,6,5.581541393522612,11.14242753855013,23.03005536514632,86.1858328487127,3.313452617627568,38.74710918164482,0.52,0.13,0.15,0.07,0.03,0.02,0.08,0.1893752933499708,79.15479505679858,0.8621453172585275,55.970892348093685,0.9404576109147494,470.77015094040985,9.698597073129507,51.325872066951206,5.562135753699804,87.70947071455788
Попадос 3, Sunmen,4.6,33,None,None,5.229616588945182,14.29930083325352,36.45556640625,88.95247986388094,0.0441944999944756,20.82113380989736,0.66,0.11,0.12,0.05,0.02,0.01,0.04,0.1526767656473928,58.9976686253725,0.8422482567688725,41.71765155919771,0.9228807266900364,267.4396056032615,10.311929703043536,54.02056286075427,6.036023130716599,84.01788507378076
Демон Разума 2_ Культ света, Иван Шаман,3.8,328,4.0,2,5.335444065595064,9.184600862998922,35.95837723919916,90.63353923167008,1.3892397069967164,0.0,0.61,0.14,0.11,0.04,0.02,0.02,0.06,0.2250582426116133,58.79536211738457,0.866013203397925,41.574599255521285,0.9319377256485664,369.9159958871916,7.673951838390156,61.28919233325689,4.139764469708981,97.68737483486784
Империя, Милослав Князев,4.3,178,3.9,41,5.177586838783239,10.114200697722142,33.81095890410959,90.05024961925936,1.3193579124825918,24.799042243885754,0.62,0.14,0.11,0.05,0.03,0.01,0.05,0.1840410015395835,57.82754532205419,0.8528192626083703,40.89024943659694,0.9254397587207932,342.00004937169456,7.85316503632534,62.12759749983334,4.278616464919336,96.60273409698458
Магия Фиора, Милослав Князев,4.5,155,3.9,32,5.16013671628458,10.411261079774375,36.33672752808989,92.57999702918436,1.110146899015722,22.085668941686016,0.66,0.12,0.1,0.06,0.02,0.01,0.03,0.1676635712698213,53.93635717308567,0.8453481656688904,38.13876390958856,0.9211110833327965,306.9443052379214,8.009951673582083,61.67409092934986,4.391157625283098,95.79281364819984
Чудеса случаются. Дилогия, Александр Борискин,5.0,1,None,None,5.591289535472584,11.9983491085186,38.75843694493784,70.37447105394871,7.264950783370998,0.0,0.62,0.12,0.11,0.05,0.02,0.01,0.07,0.1990926172036112,65.76237397552526,0.8608641408242366,46.50102058501965,0.9344588250827394,322.8617355835232,10.386370756179408,48.267057362012,6.047768411842965,84.28182701951916
Нойоны. Гроза на востоке, Александр Юрьевич Бауров,3.6,9,None,None,5.214620932086685,10.726549616839655,29.942209019713747,90.9058080917508,1.444439629645679,0.0,0.55,0.13,0.11,0.08,0.03,0.02,0.08,0.2007287420181103,66.83875284859124,0.8617615670942165,47.26213538529053,0.9414426701005372,432.4370209223492,8.077121104877147,61.94878593182176,4.442901963721075,95.39091830471276
Аэрос. Оцифрованный мир (1-2), Александр Сергеевич Пантелеев,None,None,4.0,3,5.1610157909776495,7.53574424457079,18.187514035481698,60.56704889075177,0.2295340458868497,0.0,0.59,0.09,0.12,0.09,0.03,0.03,0.05,0.2431935201076689,69.20938933440063,0.8748992046649257,48.9384285201346,0.9369480584734572,328.3890217397381,6.413564617066598,66.56380062223045,3.2473225034950026,104.00748209247728
Зародыш мира. Начало, Эрленеков Виктор,4.6,11,4.3,151,5.117104235347076,10.40534612748458,38.34140191628845,83.83544236776619,1.81076931222534,0.0,0.62,0.1,0.11,0.07,0.03,0.02,0.05,0.2062579737212452,56.87299485605245,0.8595389143620596,40.21528032910232,0.9259631879359448,229.70008367768403,7.835999111075974,62.89830602153114,4.271722503429343,96.6069779464438
Тайные кланы. Пробуждение вайлорда, Элиан Тарс,5.0,15,None,None,5.074829931972789,9.07201054397316,21.9904403244496,85.06670492038445,2.3669487878353177,46.60122548517327,0.66,0.11,0.07,0.04,0.02,0.01,0.08,0.1989039796603917,54.801926872075,0.8562883736251558,38.75081411333351,0.9292669222740406,305.4454597303529,6.839491801604062,67.0217139730201,3.5657729650396828,101.6093713534515
История одного пета. Часть 1, Алексей Калинин,4.7,643,4.3,105,5.197223740299486,12.090766002098636,34.25555555555555,85.1908720283793,1.2707153068248,0.0,0.58,0.12,0.11,0.07,0.03,0.01,0.07,0.3036003892312682,65.2882031059747,0.8890266909501134,46.165731147719335,0.9280466441441004,402.7166645305179,8.886273941819812,59.19677294966832,5.020612599770983,91.2592254322591
Бессистемная отладка. Утилизация, Тимофей Царенко,4.7,462,3.8,83,5.375650986083839,8.994638069705093,21.69773145309626,64.46063433051229,0.5772938772211382,0.1500964080774959,0.61,0.14,0.11,0.07,0.02,0.03,0.03,0.2710305462149255,72.10533245219051,0.8830940926649774,50.98616953665434,0.9395424982738642,357.88715414237583,8.000682832193725,58.57499987719038,4.360974421965091,96.20671709592754
Иностранец. Друзья и враги, Игорь Витальевич Шелег,4.6,9,None,None,4.934408072852572,10.370573248407643,35.37862397230636,88.18343869629167,1.714380339174565,0.0,0.68,0.13,0.07,0.04,0.02,0.01,0.04,0.1815190802348336,51.90303141209736,0.8491457403839834,36.70098547563244,0.912608866335484,203.86385337567867,7.307799559624723,66.66599291601291,3.909442297411209,99.07325050912952
С любимыми не расставайтесь! (сборник), Александр Володин,4.6,14,4.0,51,4.905127692892632,5.728499778728426,13.373163817541448,83.58486626041726,4.513354974656871,0.061696755699831,0.71,0.09,0.07,0.04,0.01,0.01,0.07,0.1563686350584864,61.69669102333396,0.8447967028515038,43.62614859937063,0.9264654042616178,136.9465160767774,4.8975394059481765,73.31668073986869,2.176945611181172,111.56163803953744
Волк. Студент, Виктория Гетто & Александр Михайлович Авраменко,4.3,74,3.4,12,5.405274335881157,8.658553341839239,20.732615312573166,86.84507510476173,8.73087387474083,0.0,0.58,0.14,0.1,0.06,0.02,0.02,0.07,0.2191329094625574,65.20778308769181,0.8667337943743401,46.10886560744834,0.9474792284285988,435.6484089508641,7.969984267354789,58.02206205700804,4.33410843443516,96.44044106847062
Файролл. Край холодных ветров, Андрей Васильев,4.8,965,4.3,62,4.833859561860686,9.587468982630272,23.06673282064004,95.79387438296196,2.80901183563174,0.0,0.64,0.1,0.09,0.05,0.02,0.02,0.08,0.2016196683229012,61.47978466170346,0.8600218862548761,43.472772640179215,0.9226880528155144,248.7919252516935,6.445714796662546,71.02318388096063,3.304667612234189,103.3083481452212
Правдивая история Азраила. Враг двух миров. Том 4 (Passum Interitum 1.4) (СИ), Антон Тутынин,4.5,495,3.9,59,5.593644083933127,16.754662840746054,51.53125,83.13559996815033,1.1386256867584998,0.0318496695596783,0.54,0.15,0.12,0.08,0.03,0.02,0.07,0.2348677228623408,76.29984434183888,0.874750849226497,53.95213733759229,0.9482124036152492,571.1359367034402,12.48213273768047,44.17811759428062,7.566954673616289,73.22461261427381
ГКР-3, Руслан Алексеевич Михайлов,4.8,301,4.4,454,5.343723336911348,7.343856826865071,22.957640414182617,39.18956119583769,1.3874359962561251,0.0110113967956835,0.55,0.14,0.1,0.09,0.03,0.03,0.07,0.2778886367985129,75.16669317847743,0.8856714949785494,53.15087846587,0.9406723295762476,419.569351054232,6.8746411905390445,62.825372890384216,3.560180724514465,101.90725809523144
История одного Воина. Начало., Виталий Молодушный Салливан,4.1,136,4.4,16,4.929205810813826,11.160238124767456,40.10947930574099,93.80112543372346,1.6629811408949535,0.0,0.61,0.12,0.11,0.05,0.02,0.02,0.08,0.1982779664025919,59.52501373048408,0.8581742070274442,42.09054085904764,0.9207406661940764,275.30572125178867,7.623859666119788,66.13831377961242,4.1392192232371645,97.39530341302948
Защита Периметра. Второй контракт, Михаил Александрович Атаманов,4.9,478,4.5,153,5.690520601802728,14.079001099418878,36.4497975708502,65.9933411453974,5.133642095865186,0.0,0.58,0.12,0.12,0.06,0.02,0.02,0.08,0.2092612544567982,62.78918723766122,0.8628870776877885,44.39866008094207,0.943878371619758,424.1815029778953,11.780108259441842,43.11029980301117,7.0397195413599984,77.21390113549548
Последний Выживший. Том 1, Грек Максим,2.7,8,1.0,2,5.13557304219054,8.880696364567333,16.805675805675804,48.77053824362606,4.192634560906516,33.01983002832861,0.63,0.12,0.11,0.06,0.02,0.01,0.04,0.2731331749620768,51.05398993872172,0.8759438628398521,36.1006224922999,0.9297688416991686,258.43655815845574,7.10894017383357,64.6967858580015,3.74754849675638,100.3984422045688
"Прощай, Гульсары! (сборник) ", Чингиз Айтматов,4.9,73,4.7,93,4.879414252081889,9.31076770397675,31.939636363636364,104.48426230676915,4.426040565107353,0.0,0.67,0.09,0.07,0.07,0.02,0.02,0.06,0.1858126314031772,67.44537811726747,0.8572343949113218,47.6910842264106,0.9259179965711296,232.4229896015088,6.446391584981445,70.40913854882685,3.300545953755803,103.37652356257614
Трудно быть богом, Аркадий Стругацкий & Борис Стругацкий,4.7,2288,4.4,17931,5.032024399542508,10.295106622978995,30.677372962607866,104.95438867936691,4.081649099055539,29.20413886471328,0.65,0.1,0.09,0.07,0.01,0.01,0.06,0.1757744336620151,77.01628570584731,0.8570872549475521,54.4587378844052,0.9258468213059404,187.09153174636515,7.416458225097916,65.68848025903986,3.982444962153005,98.589605494874
"Некрополь. Том первый, часть первая. ", Евгений Нетт,4.7,32,4.5,429,5.387632452949549,13.097069597069597,30.764737406216504,88.70165010023973,4.710566529742461,0.0,0.57,0.11,0.14,0.08,0.03,0.02,0.05,0.2530876025571794,60.639176920150064,0.8746094693461045,42.87837320580889,0.9356732937749545,428.9969455190479,9.99040682667932,53.60762984970708,5.795125691699779,85.83604131141263
Адмирал с Земли, Алексей Константинович Чижовский,4.4,181,4.2,38,6.1252844303600185,11.558337326305702,29.47745277269957,71.34642275010135,0.9846021462671996,47.64150553114735,0.52,0.14,0.14,0.09,0.02,0.02,0.08,0.2077936844281358,64.63185312258047,0.8631330729247884,45.70162162362959,0.9591035800064084,745.0138001547059,11.744647007340363,37.59160463811702,6.971951747398864,78.05529930672647
Следы Сиятельного. Книга первая. Пункт назначения., Джон Голд,4.6,45,4.5,2,5.52060151188878,8.803349924942719,33.75325461701483,73.57886135356179,2.08985660257291,15.395518016877942,0.63,0.1,0.12,0.05,0.01,0.01,0.07,0.2075219532322154,69.29089341306356,0.8646907839688519,48.99606060685152,0.9496257261479916,423.1867393590618,8.283548993072518,56.053710458297786,4.551195267118915,94.94492313658527
КвазаРазмерность. Книга 4, Виталий Вавикин,4.5,58,4.5,4764,5.66909405429536,12.355961405926948,29.047082494969818,99.69386976936735,0.6100815984137878,0.0,0.57,0.1,0.13,0.07,0.03,0.02,0.07,0.2117702474301072,56.89569405690222,0.8612442276547284,40.23133108795072,0.9435860111463096,384.0768751874764,10.6348841650958,47.427800824404216,6.225244353710904,83.01217059951628
Девятый уровень. Часть вторая., Дмитрий Серебряков,4.8,59,4.4,3,5.002454573347425,9.738294522250769,43.30466740169056,91.58860883091695,0.3771018376980626,0.033669806937327,0.67,0.13,0.1,0.05,0.02,0.01,0.04,0.1422958109851313,48.845407796308734,0.8330183539640719,34.53891908259216,0.924857655965109,231.30399776133623,7.098113519022078,66.70835223325697,3.7546833658501466,100.22249542313013
Дитя, К_И_С,4.0,1645,3.4,13086,5.235376849734673,9.85499490316004,23.514141414141413,81.51011900759767,8.586028373562831,8.975996772675318,0.65,0.12,0.1,0.06,0.01,0.02,0.05,0.1861591992783195,63.51139685097965,0.8558774253776108,44.90933939595765,0.9344111761773513,263.05179106344826,8.00489162151841,60.49845558876885,4.378565826765557,95.95832575720172
Ведьма (сборник), Надежда Тэффи,4.7,26,4.4,9,4.98669068767108,8.266574346546651,17.177623715037054,95.62886752056892,5.654121528908632,0.0,0.65,0.11,0.09,0.06,0.01,0.01,0.07,0.2033080969744203,77.07173716286431,0.8658559610618215,54.4979479856886,0.928956790949052,222.10352920335103,6.382176155518785,68.4915012630545,3.2386191547391334,103.95453674828173
Альфа. Игрок R 5, Дан Лебэл,4.5,153,3.0,1,5.228266836897542,8.319644369178663,33.00879396984924,100.0704170252719,3.276347703622565,0.0,0.62,0.12,0.1,0.07,0.02,0.02,0.05,0.2252077386615921,63.22885240711383,0.8677841295794441,44.70955030371354,0.9294842534393788,304.6071210573681,7.164812522083501,62.98986873024546,3.776021362236941,100.29076505325963
Кальмар. Книга первая, Валерий Шалдин,4.4,18,4.1,62,5.405512464224978,10.526247288503251,46.04725897920605,92.25170534286369,2.774241979176866,16.873918861581643,0.59,0.11,0.12,0.07,0.02,0.02,0.06,0.304979678968759,67.3155856404579,0.8899822391291556,47.59930708591156,0.9411444168948456,304.0497541063801,8.84656545179083,55.960355540685214,4.966883387861751,91.85676223289546
Мобильник для героя, Николай Нестеров,4.3,42,3.2,27,5.452607647732518,9.56628664495114,28.13590844062947,81.87805338875543,2.0648330589219683,27.08575130232935,0.59,0.12,0.11,0.08,0.01,0.04,0.06,0.2851646582261317,69.2668418123323,0.8857848749959548,48.97905355687607,0.9297401445686492,434.1981987173873,8.59132369454667,55.63633343188988,4.775674837670591,93.29966691462634
Город Л.Збт, Кромт,4.9,21,None,None,5.349718547706164,13.386496144442354,35.52179327521793,95.29172479870904,5.950479904523373,18.57984120847411,0.58,0.14,0.11,0.06,0.02,0.03,0.06,0.1820922731734679,68.7672620824398,0.8564837820046125,48.62579734212573,0.936605259455896,317.250435910412,9.909495496821702,54.87839009839121,5.744851566293869,86.13261528302552
Катар. часть вторая, Игорь Анатольевич Хорт,4.4,1090,4.3,948,5.236187452615618,13.156356854212,43.84804928131417,82.84483903401438,1.441769582455941,0.0,0.62,0.12,0.1,0.06,0.02,0.02,0.07,0.2490399925072585,51.46639058946336,0.8696188961351652,36.392233789005054,0.9202610590294112,235.8740092088292,9.54081915055124,57.07704872313079,5.488739380979078,87.90452453252176
Преступление и наказание, Федор Михайлович Достоевский,4.3,123,4.4,58049,4.847327408960278,12.951532324211469,42.847687007874015,115.14754098360656,4.260033917467496,0.0045223289994347,0.66,0.1,0.09,0.05,0.02,0.01,0.06,0.1445791435282226,60.33178695734558,0.8397417649583813,42.66101567864117,0.9105061758639348,154.32144547676182,8.117102751992842,66.74258281811488,4.508556281286106,94.60951880306202
Сын Галактики. Противостояние, Дмитрий Викторович Распопов,4.2,86,3.8,43,5.344140129268364,11.581470738781778,23.322856166723607,93.38183947919715,2.365237762710337,0.0,0.61,0.13,0.1,0.06,0.01,0.01,0.06,0.2190695221633024,57.23796558187745,0.8635932664856236,40.47335360426775,0.929608369219581,286.8445225044684,9.091488633341635,56.68041253459086,5.153441745399816,90.42428242716372
Великая Игра, Андреев Александр Зак,4.4,140,None,None,5.610423018292683,8.178401476158104,46.10698689956332,61.89276025934548,4.184543163322239,16.51692094580295,0.54,0.15,0.14,0.07,0.02,0.02,0.06,0.2320050196524127,67.42849820460435,0.871211232319651,47.67914832570068,0.9468154396542304,622.0353107508763,8.258369758634249,54.851111052611344,4.523520927168496,95.22433746251772
Проклятое дитя. Том 1 часть вторая, Олег Митрофанов,4.0,1645,3.4,13086,4.890124496301197,14.259386250642894,34.940289126335635,69.00959104502948,2.6810990009536124,0.1098401825344124,0.65,0.12,0.11,0.06,0.01,0.01,0.04,0.1298075193380104,53.0101233598758,0.8302029633184624,37.48381769930359,0.9276622287975546,204.30224225029173,9.047501170906765,63.059872202989055,5.168930902416063,89.91941521007956
"Виват, император. Часть третья ", Юрий Николаевич Москаленко,4.5,297,3.9,7,4.984399269462509,9.983542585680352,25.53457216940363,107.77993117905312,0.3823385937850202,0.0,0.62,0.13,0.1,0.07,0.02,0.01,0.06,0.2231455311659079,54.24180886016335,0.8634783807020908,38.35475086884606,0.922691266353593,277.922827615254,7.201088352553324,66.52358941108828,3.829449811140675,99.67731083090942
Последний выживший. Дилогия (СИ), Максим Грек (СИ),2.7,8,1.0,2,5.047881905239827,8.886529201135943,17.753502088965348,49.67302845596154,2.764547180494954,33.77410651833594,0.62,0.14,0.12,0.05,0.02,0.02,0.03,0.2096097675770705,56.337475100078834,0.8603374428901746,39.83661067819401,0.9244006746075508,245.12207447649507,6.812266502589008,66.81516946954733,3.5440831616437034,101.7834165010764
Воплощенный в Камне. Книга 1, Алексей Тихий,4.8,19,None,None,5.148741005718599,14.613967950251135,42.34705882352941,96.2505012698837,3.107873278973399,0.0,0.6,0.13,0.12,0.06,0.02,0.02,0.04,0.1988184633486677,69.55322314745581,0.8621105060478195,49.18155574094715,0.9301070840169084,347.8616767520235,9.95638995617595,57.308000096276686,5.7978221178171,85.58999568212298
Мистический рыцарь, Тайниковский,4.8,57,3.0,9,5.016866307580996,10.403622465935529,28.381620642824807,102.2731396910272,1.1492723291515952,0.0,0.65,0.1,0.11,0.04,0.02,0.01,0.05,0.1890581386075444,47.33820990400064,0.8492037730121254,33.47316923235104,0.9218578355980408,263.5768728321361,7.42505688498985,65.81471676128017,3.989754522867784,98.5274931764402
